# Time-averaged data for fix pave
# TimeStep v_pressure
13615000 941.182
13616000 941.344
13617000 941.486
13618000 941.481
13619000 941.5
13620000 941.56
13621000 941.469
13622000 941.565
13623000 941.624
13624000 941.683
13625000 941.639
13626000 941.667
13627000 941.709
13628000 941.749
13629000 941.872
13630000 942.112
13631000 942.264
13632000 942.234
13633000 942.34
13634000 942.443
13635000 942.525
13636000 942.498
13637000 942.455
13638000 942.326
13639000 942.244
13640000 942.131
13641000 941.891
13642000 941.584
13643000 941.571
13644000 941.548
13645000 941.425
13646000 941.282
13647000 941.135
13648000 941.156
13649000 941.056
13650000 941.006
13651000 940.984
13652000 941.11
13653000 941.173
13654000 941.11
13655000 941.286
13656000 941.313
13657000 941.192
13658000 941.057
13659000 940.931
13660000 940.766
13661000 940.646
13662000 940.476
13663000 940.394
13664000 940.347
13665000 940.304
13666000 940.365
13667000 940.357
13668000 940.329
13669000 940.312
13670000 940.24
13671000 940.155
13672000 940.016
13673000 939.787
13674000 939.665
13675000 939.387
13676000 939.231
13677000 938.982
13678000 938.806
13679000 938.718
13680000 938.554
13681000 938.362
13682000 938.094
13683000 937.991
13684000 937.89
13685000 937.763
13686000 937.647
13687000 937.632
13688000 937.573
13689000 937.527
13690000 937.451
13691000 937.504
13692000 937.564
13693000 937.496
13694000 937.463
13695000 937.423
13696000 937.36
13697000 937.319
13698000 937.236
13699000 937.148
13700000 937.13
13701000 937.079
13702000 937.052
13703000 936.852
13704000 936.816
13705000 936.785
13706000 936.864
13707000 936.816
13708000 936.857
13709000 936.957
13710000 936.926
13711000 936.838
13712000 936.86
13713000 936.632
13714000 936.7
13715000 936.646
13716000 936.748
13717000 936.837
13718000 936.856
13719000 936.938
13720000 937.106
13721000 937.232
13722000 937.327
13723000 937.293
13724000 937.371
